CustomerID,Recency,Frequency,Monetary,NumItems,NumProducts,Country,FirstPurchase,LastPurchase,Churned,Tenure
12346,326,1,77183.6,74215,1,United Kingdom,2011-01-18 10:01:00,2011-01-18 10:01:00,1,0
12347,2,182,4310.0,2458,103,Iceland,2010-12-07 14:57:00,2011-12-07 15:52:00,0,365
12348,75,31,1797.24,2341,22,Finland,2010-12-16 19:09:00,2011-09-25 13:13:00,0,282
12349,19,73,1757.55,631,73,Italy,2011-11-21 09:51:00,2011-11-21 09:51:00,0,0
12350,310,17,334.4,197,17,Norway,2011-02-02 16:01:00,2011-02-02 16:01:00,1,0
12352,36,85,2506.04,536,59,Norway,2011-02-16 12:33:00,2011-11-03 14:37:00,0,260
12353,204,4,89.0,20,4,Bahrain,2011-05-19 17:47:00,2011-05-19 17:47:00,1,0
12354,232,58,1079.4,530,58,Spain,2011-04-21 13:11:00,2011-04-21 13:11:00,1,0
12355,214,13,459.4,240,13,Bahrain,2011-05-09 13:49:00,2011-05-09 13:49:00,1,0
12356,23,59,2811.43,1591,53,Portugal,2011-01-18 09:50:00,2011-11-17 08:40:00,0,302
12357,33,131,6207.67,2708,131,Switzerland,2011-11-06 16:07:00,2011-11-06 16:07:00,0,0
12358,2,19,1168.06,248,13,Austria,2011-07-12 10:04:00,2011-12-08 10:26:00,0,149
12359,58,248,6372.58,1622,213,Cyprus,2011-01-12 12:43:00,2011-10-13 12:47:00,0,274
12360,52,129,2662.06,1165,105,Austria,2011-05-23 09:43:00,2011-10-18 15:22:00,0,148
12361,287,10,189.9,91,10,Belgium,2011-02-25 13:51:00,2011-02-25 13:51:00,1,0
12362,3,266,5226.23,2229,201,Belgium,2011-02-17 10:30:00,2011-12-06 15:40:00,0,292
12363,110,23,552.0,408,23,Unspecified,2011-04-11 13:29:00,2011-08-22 10:18:00,1,132
12364,8,85,1313.1,1506,70,Belgium,2011-08-19 15:24:00,2011-12-02 10:22:00,0,104
12365,291,22,641.38,174,22,Cyprus,2011-02-21 13:51:00,2011-02-21 14:04:00,1,0
12367,4,11,168.9,173,11,Denmark,2011-12-05 16:48:00,2011-12-05 16:48:00,0,0
12370,51,167,3545.69,2353,143,Cyprus,2010-12-14 12:58:00,2011-10-19 14:51:00,0,309
12371,45,63,1887.96,591,63,Switzerland,2011-10-11 10:43:00,2011-10-26 10:16:00,0,14
12372,72,52,1298.04,794,34,Denmark,2011-02-16 12:46:00,2011-09-29 12:12:00,0,224
12373,311,14,364.6,197,14,Austria,2011-02-01 13:10:00,2011-02-01 13:10:00,1,0
12374,25,33,742.9300000000001,342,33,Austria,2011-11-14 15:37:00,2011-11-14 15:37:00,0,0
12375,11,17,457.5,178,14,Finland,2011-09-02 14:23:00,2011-11-29 10:36:00,0,87
12377,315,77,1628.12,944,72,Switzerland,2010-12-20 09:37:00,2011-01-28 15:45:00,1,39
12378,130,219,4008.62,2529,219,Switzerland,2011-08-02 10:34:00,2011-08-02 10:34:00,1,0
12379,82,40,852.24,407,39,Belgium,2011-06-22 16:32:00,2011-09-19 10:09:00,0,88
12380,22,104,2724.81,1127,77,Belgium,2011-06-07 09:49:00,2011-11-18 11:27:00,0,164
12381,5,87,1845.31,808,70,Norway,2011-08-12 09:57:00,2011-12-05 12:44:00,0,115
12383,185,99,1850.56,1532,84,Belgium,2010-12-22 14:28:00,2011-06-08 08:02:00,1,167
12384,29,27,585.27,126,26,Switzerland,2011-08-10 11:23:00,2011-11-11 08:39:00,0,92
12386,338,10,401.9,354,10,Australia,2010-12-08 09:53:00,2011-01-06 12:37:00,1,29
12388,16,100,2780.66,1462,58,Australia,2011-01-17 11:12:00,2011-11-24 12:30:00,0,311
12390,80,32,549.84,353,32,Belgium,2011-09-21 09:33:00,2011-09-21 09:33:00,0,0
12391,22,100,460.89,300,92,Cyprus,2011-11-18 12:07:00,2011-11-18 12:07:00,0,0
12393,72,64,1582.6000000000001,816,49,Australia,2011-01-11 09:47:00,2011-09-28 15:41:00,0,260
12394,64,27,1272.48,819,26,Belgium,2011-05-06 14:01:00,2011-10-07 08:08:00,0,153
12395,19,156,3018.63,2118,91,Belgium,2010-12-03 16:35:00,2011-11-20 15:21:00,0,351
12397,36,126,2409.9,1263,110,Belgium,2011-07-27 14:21:00,2011-11-04 09:52:00,0,99
12398,46,85,1635.6599999999999,1394,85,Switzerland,2011-10-25 10:27:00,2011-10-25 10:27:00,0,0
12399,119,59,1108.65,1178,47,Belgium,2011-03-23 09:42:00,2011-08-12 13:15:00,1,142
12401,303,5,84.3,11,5,Belgium,2011-02-09 13:50:00,2011-02-09 13:50:00,1,0
12402,323,11,225.6,94,11,Belgium,2011-01-20 13:49:00,2011-01-20 13:49:00,1,0
12403,50,5,427.7,96,5,Denmark,2011-10-21 10:51:00,2011-10-21 10:51:00,0,0
12405,149,54,1710.39,857,54,Finland,2011-07-14 08:52:00,2011-07-14 08:52:00,1,0
12406,22,105,3415.3,1818,91,Denmark,2011-06-09 10:23:00,2011-11-17 19:22:00,0,161
12407,50,77,1708.1200000000001,1416,57,Belgium,2011-03-20 13:21:00,2011-10-21 10:11:00,0,214
12408,33,105,2888.55,1409,81,Belgium,2011-03-24 14:46:00,2011-11-07 12:27:00,0,227
12409,79,109,11072.67,5551,91,Switzerland,2011-06-10 12:19:00,2011-09-22 10:38:00,0,103
